,label,tweets
0,1.0,#FollowFriday @France_Inte @PKuchly57 @Milipol_Paris for being top engaged members in my community this week :)
1,1.0,@Lamb2ja Hey James! How odd :/ Please call our Contact Centre on 02392441234 and we will be able to assist you :) Many thanks!
2,1.0,@DespiteOfficial we had a listen last night :) As You Bleed is an amazing track. When are you in Scotland?!
3,1.0,@97sides CONGRATS :)
4,1.0,yeaaaah yippppy!!!  my accnt verified rqst has succeed got a blue tick mark on my fb profile :) in 15 days
5,1.0,"@BhaktisBanter @PallaviRuhail This one is irresistible :)
#FlipkartFashionFriday http://t.co/EbZ0L2VENM"
6,1.0,We don't like to keep our lovely customers waiting for long! We hope you enjoy! Happy Friday! - LWWF :) https://t.co/smyYriipxI
7,1.0,"@Impatientraider On second thought, there’s just not enough time for a DD :) But new shorts entering system. Sheep must be buying."
8,1.0,"Jgh , but we have to go to Bayan :D bye"
9,1.0,"As an act of mischievousness, am calling the ETL layer of our in-house warehousing app Katamari.

Well… as the name implies :p."
10,1.0,#FollowFriday @wncer1 @Defense_gouv for being top influencers in my community this week :)
11,1.0,Who Wouldn't Love These Big....Juicy....Selfies :) - http://t.co/QVzjgd1uFo http://t.co/oWBL11eQRY
12,1.0,@Mish23615351  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)
13,1.0,"@jjulieredburn Perfect, so you already know what's waiting for you :)"
14,1.0,Great new opportunity for junior triathletes aged 12 and 13 at the Gatorade series! Get your entries in :) http://t.co/of3DyOzML0
15,1.0,Laying out a greetings card range for print today - love my job :-)
16,1.0,"Friend's lunch... yummmm :)
#Nostalgia #TBS #KU."
17,1.0,@RookieSenpai @arcadester it is the id conflict thanks for the help :D here's the screenshot of it working
18,1.0,@oohdawg_ Hi liv :))
19,1.0,Hello I need to know something can u fm me on Twitter?? — sure thing :) dm me x http://t.co/W6Dy130BV7
20,1.0,#FollowFriday @MBandScott_ @Eric_FLE @pointsolutions3 for being top new followers in my community this week :)
21,1.0,"@rossbreadmore I've heard the Four Seasons is pretty dope. Penthouse, obvs #Gobigorgohome
Have fun y'all :)"
22,1.0,@gculloty87 Yeah I suppose she was lol! Chat in a bit just off out x :))
23,1.0,Hello :) Get Youth Job Opportunities follow &gt;&gt; @tolajobjobs @maphisa301
24,1.0,💅🏽💋 - :)))) haven't seen you in years
25,1.0,@Bosslogic @amellywood @CW_Arrow @ARROWwriters Thank you! :-)
26,1.0,@johngutierrez1 hope the rest of your night goes by quickly... I am off to bed... got my music fix and now it is time to dream  :)
27,1.0,"Spiritual Ritual Festival (Népal)
Beginning of Line-up :)
It is left for the line-up (y)
See more at:... http://t.co/QMNz62OEuc"
28,1.0,@ke7zum Hey Sarah! Send us an email at bitsy@bitdefender.com and we'll help you asap :)
29,1.0,@izzkamilhalda lols. :D
30,1.0,MY kik - hatessuce32429 #kik #kikme #lgbt #tinder #nsfw #akua #cumshot :) http://t.co/TnHJD36yzf
31,1.0,@KalinWhite come to my house :)))))
32,1.0,"#nsn_supplements, Effective press release distribution with results! :) [link removed] #PressRelease #NewsDistribution"
33,1.0,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x46"
34,1.0,everyone watch the documentary Earthlings on YouTube :-)
35,1.0,@jamiefigsxx  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)
36,1.0,#FollowFriday @MichelBauza @InvataOnline for being top supports in my community this week :)
37,1.0,buuuuuuuut oh well :-)
38,1.0,@leisuremarkltd @NoshandQuaff @aktarislam @keanebrands @HeritageSilver I am looking forward to visiting next week #letsgetmessy Jo :-)
39,1.0,@sehunshinedaily if it makes u feel better i never have nor will see anyone in kpop in the flesh :D
40,1.0,"@Joyster2012 @CathStaincliffe Good for you, girl!! Best wishes :-)"
41,1.0,@_Kimimi A great enough reason to listen to one epic soundtrack. :D
42,1.0,@AquaDesignGroup Thank you for the shout out. Have a great Friday :)
43,1.0,I added a video to a @YouTube playlist http://t.co/yzpfsMxUq0 im back on twitch and today it going to be league :) - 1 / 4
44,1.0,Would love to see you dear in #Jordan :) waiting you! @FIRDOZ  :) @VisitJordan @dannyprol
45,1.0,"@ABNORMAL_ANA92 oh, okay :D thanks!"
46,1.0,"@sssniperwolf like how to fake gameplays ;) haha Im kidding, im kidding. You do good stuff :)."
47,1.0,"@dennislami @Dicle_Aygur, yeah exactly :)"
48,1.0,Our new product line is in our #etsy shop now! Check it out :) http://t.co/h8exCTLQxg #boxroomcrafts
49,1.0,@PeakYourMind I hope your vacation is going great! :D
50,1.0,@groovinshawn they are rechargeable and it normally comes with a charger when u buy it :)
51,1.0,#FollowFriday @France_Espana @reglisse_menthe @CCI_inter for being top engaged members in my community this week :)
52,1.0,Well she's asleep and I have no one to talk to sooo someone text me :)
53,1.0,"@brynybrath @smallcappy Yes, I suppose. I bet he'll have a blue fit after hearing her speech today. Pity :-)"
54,1.0,"Green gardens, midnight sun, beautiful canals dasvidaniya till next visit.:)"
55,1.0,@KeithRParsons are you scouting SG for a future WLAN pros conference here in Asia? :)
56,1.0,"@Cecilie_Hell @420evilangel @wazimotometal @durooooooo @spigranty Good for u, better change it to lollipop 🍭 :)."
57,1.0,We &lt;3 u Nez :) #AGNEZMO https://t.co/cGViMHSINz
58,1.0,@LittleMix Follow me Please :)  This is my Big Dream :)
59,1.0,@Elemaaan  oley be :D
60,1.0,"""@CowokAddict: Mama is the only reason why I stand stronger up to now! :)"""
61,1.0,@MacatangayApril  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)
62,1.0,"@tk_kjk_kndr @boukendreamer OH MY GOD MISTY, MY BABY IS SO CUTE!!! :D"
63,1.0,"@BhaktisBanter 

I love blue :)
#FlipkartFashionFriday http://t.co/HnbinH35ES"
64,1.0,"@CarcassDrop Woohoo! Can't wait :) Have you signed up yet, or still thinking about it? MKa"
65,1.0,i have liam access now :))
66,1.0,@SyuhxdxTengku most welcome :)
67,1.0,Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/p6K6SiH58a.
68,1.0,@sluttywife2 you shouldn't be surprised...you have an amazing figure :)
69,1.0,#FollowFriday @murtishaw @aqui_fr @FRTechStartups for being top influencers in my community this week :)
70,1.0,"#HappyBirthdayEmilyBett @emilybett :) Wishing you all the best you beautiful,sweet,talented,amazing… https://t.co/humtC1tr3I"
71,1.0,2 plans for the day down the drain great :):
72,1.0,@x123456789tine @5SOS_FAHUpdates gotta love timezones :p
73,1.0,"are your parents proud of you — lol, not in the least :D maybe sometimes they get happy because of my grades, al... http://t.co/bJjeGIOOGU"
74,1.0,Grande :)  https://t.co/gsaaxNpR8u
75,1.0,Manila_bro has chosen to follow me on Twitter! http://t.co/lKXZWXN1fb. Thanks for the follow :)
76,1.0,@syazwanzainal sure let me know when you're around..at this side of the world #eh u too take care :-)
77,1.0,#FollowFriday @michae1green @superninjaalan @Doug_Laney for being top new followers in my community this week :)
78,1.0,finally the fucking weekend :)
79,1.0,REAL :)
80,1.0,@LoLEsportspedia thanks :D
81,1.0,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x45"
82,1.0,YES! I Joined #HushedCallWithFraydoe for a call &amp; gift from @_Fraydoe &lt;3 Gotta Get @HushedApp :D http://t.co/VaLVe8omdT
83,1.0,@YasLarry yeahhh :)
84,1.0,can I DM you &amp; make your night better :)))
85,1.0,just joined the #HushedPinWithSammy Event :D Might get to Text with @SammyWilk for a day! Luv U @HushedApp http://t.co/kGfgawdHy9
86,1.0,Would really appreciate it if you share this video around :) https://t.co/MhK3B3wOpQ
87,1.0,Hello :) Get Youth Job Opportunities follow &gt;&gt; @tolajobjobs @xhebenkewu_9920
88,1.0,@TomParker oh wow!! That is beautiful tom :)
89,1.0,Love You @darlingIXHAI22 @SyreenAnne :)) https://t.co/wx7yRrE7sV
90,1.0,I added a video to a @YouTube playlist http://t.co/HVVPhSYakA im back on twitch and today it going to be league :) - 1 / 3
91,1.0,#FollowFriday @AmericanOGrain @PecomeP @APaulicand for being top supports in my community this week :)
92,1.0,@ZaynZaynmalik30  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)
93,1.0,Gym Monday can't wait :). Likes
94,1.0,"@HarNiLiZaLouis Hey, here's your invite to join Scope as an influencer :)  http://t.co/rZgZtQ2fJT"
95,1.0,Those friends know themselves :)
96,1.0,waiting for nudes :-)
97,1.0,@JacobWhitesides go sleep u ! :)))))))))
98,1.0,Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/RB8pMNgMEo.
99,1.0,My birthday is a week today! :D
100,1.0,@metalgear_jp @Kojima_Hideo I want you're T-shirts ! They are so cool ! :D
101,1.0,@AxeRade haw phela if am not looking like Mom obviously am looking like him :)
102,1.0,@zaynmalik prince charming on stage :) x https://t.co/OnVFhzt5fZ
103,1.0,i have really good luck :)
104,1.0,Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/XzsOGaC4zK.
105,1.0,#FollowFriday @straz_das @DCarsonCPA @GH813600 for being top engaged members in my community this week :)
106,1.0,@twentyonepilots @fujirock_jp tylers hipster glasses :D
107,1.0,"@MartyRafenstein 

Hey Marty !! Glad to see on Twitter. :)"
108,1.0,@UKBusinessLunch Hi we will be joining you again today :)
109,1.0,@LAfitnessUKhelp done thanks :-)
110,1.0,"Its already afternoon, lets read Al Kahfi before the day finish :)"
111,1.0,OhmyG! yaya dub @mainedcm im done doing to stalk your ig accnt.. GONDOOO MOO TOLOGOOO :) HAHA
112,1.0,@rozbabes Here's your invite to become a Scope influencer :) Details here: http://t.co/ipJ2yOiGet
113,1.0,#FollowFriday @NGourd @Locita @D_Robert_Kelly for being top influencers in my community this week :)
114,1.0,@kevinthewhippet @Cassie_Spaniel @Bracken_Nelson @BellisimoBella1 @SpanielHarry thanks :) zzz xx
115,1.0,Physiotherapy Friday is my hashtag for today. Custom! :-)
116,1.0,"@Cjlopez21 you know I will 💪 Monica and I miss you to, yeah sounds good to me :)"
117,1.0,"""Good morning, beautiful :)"" That's all it takes."
118,1.0,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x43"
119,1.0,@MandaScapinello oh yeah?? I am definitely going to try it tonight then! :) we took your advice too! We are in Treviso now!
120,1.0,@morallosanthony  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)
121,1.0,@NIKKIERIOZZI Hi! Would you like an @imPastel concert? Let me know your city and country and I'll start working on it! Thanks :)
122,1.0,"Fine, 
...Have a gorgeous Friday, friend!!..; xo..-:)) https://t.co/JmpkZP2DaI"
123,1.0,"Oven roasted garlic in olive oil, sun dried tomatoes, some dried basil, and century tuna :) https://t.co/EsCc9QhLob"
124,1.0,@HostMyOffice @NigelPWhittaker @lemezma @TWBC_Business @_TheBunkerJL Right back atchya!  Have a great day everyone :)
125,1.0,@TeamTall17 @FlashHayer  but doesn't even follow back :-)
126,1.0,The future is almost here then :) https://t.co/rolE3ZCL97
127,1.0,#FollowFriday @Michelploria @MyFrenchCity @jasoncreation for being top new followers in my community this week :)
128,1.0,No chance :)
129,1.0,@ChiAB2486 @MrCliveC @PCDKirkwood @DC_ARVSgt @COPS_President @EmWilliamsCCCU @LauraRGallagher @Hall11Kate @LaMinx541 @JohnTarbet71 cheers :)
130,1.0,@thatguycalledP go po for ice cream :))
131,1.0,@19strawberry66 I agree 100% :)
132,1.0,@SpazzyTsukihara hehehehe thats the point :p
133,1.0,@KalinWhite next time just stay home :)
134,1.0,@Gculloty87 thanks :)
135,1.0,#FollowFriday @digitalplace2be @intlboost @_lafontpresse for being top supports in my community this week :)
